School,Nickname,City,State,Conference
Southern Virginia University,Knights,Buena Vista,Virginia,USA South Athletic Conference
Southwestern University,Pirates,Georgetown,Texas,Southern Collegiate Athletic Conference
Spalding University,Golden Eagles,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference
Springfield College,Pride,Springfield,Massachusetts,New England Women's and Men's Athletic Conference
Stevens Institute of Technology,Ducks,Hoboken,New Jersey,MAC Freedom
Stevenson University,Mustangs,Stevenson,Maryland,MAC Commonwealth
Stockton University,Ospreys,Pomona,New Jersey,New Jersey Athletic Conference
Suffolk University,Rams,Boston,Massachusetts,Commonwealth Coast Conference
Sul Ross State University,Lobos,Alpine,Texas,American Southwest Conference
Susquehanna University,River Hawks,Selinsgrove,Pennsylvania,Landmark Conference
Swarthmore College,Garnet,Swarthmore,Pennsylvania,Centennial Conference
Sweet Briar College,Vixens,Sweet Briar,Virginia,Old Dominion Athletic Conference
University of Texas at Dallas,Comets,Dallas,Texas,American Southwest Conference
Texas Lutheran University,Bulldogs,Seguin,Texas,Southern Collegiate Athletic Conference
Thiel College,Tomcats,Greenville,Pennsylvania,Presidents' Athletic Conference
Thomas College,Terriers,Waterville,Maine,North Atlantic Conference
Transylvania University,Pioneers,Lexington,Kentucky,Heartland Collegiate Athletic Conference
Trine University,Thunder,Angola,Indiana,Michigan Intercollegiate Athletic Association
Trinity College,Bantams,Hartford,Connecticut,New England Small College Athletic Conference
Trinity University,Tigers,San Antonio,Texas,Southern Collegiate Athletic Conference
Trinity Washington University,Tigers,Washington,District of Columbia,Independent
Tufts University,Jumbos,Medford,Massachusetts,New England Small College Athletic Conference
Union College,Dutchmen and Dutchwomen,Schenectady,New York,Liberty League
United States Coast Guard Academy (Coast Guard),Bears,New London,Connecticut,New England Women's and Men's Athletic Conference
United States Merchant Marine Academy (Merchant Marine),Mariners,Kings Point,New York,Skyline Conference
Ursinus College,Bears,Collegeville,Pennsylvania,Centennial Conference
Utica University,Pioneers,Utica,New York,Empire 8
University of Valley Forge,Patriots,Phoenixville,Pennsylvania,Colonial States Athletic Conference
Vassar College,Brewers,Poughkeepsie,New York,Liberty League
Virginia Wesleyan University,Marlins,Virginia Beach,Virginia,Old Dominion Athletic Conference
Wabash College,Little Giants,Crawfordsville,Indiana,North Coast Athletic Conference
Warren Wilson College,Owls,Swannanoa,North Carolina,Coast to Coast Athletic Conference
Wartburg College,Knights,Waverly,Iowa,American Rivers Conference
Washington & Jefferson College,Presidents,Washington,Pennsylvania,Presidents' Athletic Conference
Washington and Lee University,Generals,Lexington,Virginia,Old Dominion Athletic Conference
Washington College,Shoremen,Chestertown,Maryland,Centennial Conference
Washington University in St. Louis,Bears,St. Louis,Missouri,University Athletic Association
Waynesburg University,Yellow Jackets,Waynesburg,Pennsylvania,Presidents' Athletic Conference
Webster University,Gorloks,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference
Wellesley College,Blue,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference
Wells College,Express,Aurora,New York,United East Conference(Allegheny Mountain Collegiate Conference in 2023)
Wentworth Institute of Technology,Leopards,Boston,Massachusetts,Commonwealth Coast Conference
Wesleyan College,Wolves,Macon,Georgia,Collegiate Conference of the South
Wesleyan University,Cardinals,Middletown,Connecticut,New England Small College Athletic Conference
Western Connecticut State University,Wolves,Danbury,Connecticut,Little East Conference
Western New England University,Golden Bears,Springfield,Massachusetts,Commonwealth Coast Conference
Westfield State University,Owls,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference
Westminster College,Blue Jays,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference
Westminster College,Titans,New Wilmington,Pennsylvania,Presidents' Athletic Conference
Wheaton College,Thunder,Wheaton,Illinois,College Conference of Illinois and Wisconsin
Wheaton College,Lyons,Norton,Massachusetts,New England Women's and Men's Athletic Conference
Whitman College,Blues,Walla Walla,Washington,Northwest Conference
Whittier College,Poets,Whittier,California,Southern California Intercollegiate Athletic Conference
Whitworth University,Pirates,Spokane,Washington,Northwest Conference
Widener University,Pride,Chester,Pennsylvania,MAC Commonwealth
Wilkes University,Colonels,Wilkes-Barre,Pennsylvania,MAC Freedom(Landmark Conference in 2023)
Willamette University,Bearcats,Salem,Oregon,Northwest Conference
William Paterson University,Pioneers,Wayne,New Jersey,New Jersey Athletic Conference
William Peace University,Pacers,Raleigh,North Carolina,USA South Athletic Conference
William Smith College,Herons,Geneva,New York,Liberty League
Williams College,Ephs,Williamstown,Massachusetts,New England Small College Athletic Conference
Wilmington College,Quakers,Wilmington,Ohio,Ohio Athletic Conference
Wilson College,Phoenix,Chambersburg,Pennsylvania,Colonial States Athletic Conference
University of Wisconsin–Eau Claire,Blugolds,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–La Crosse,Eagles,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference
Wisconsin Lutheran College,Warriors,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
University of Wisconsin–Oshkosh,Titans,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Platteville,Pioneers,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–River Falls,Falcons,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Stevens Point,Pointers,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Stout,Blue Devils,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Superior,Yellow Jackets,Superior,Wisconsin,Upper Midwest Athletic Conference
University of Wisconsin–Whitewater,Warhawks,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference
Wittenberg University,Tigers,Springfield,Ohio,North Coast Athletic Conference
College of Wooster,Fighting Scots,Wooster,Ohio,North Coast Athletic Conference
Worcester Polytechnic Institute (WPI),Engineers,Worcester,Massachusetts,New England Women's and Men's Athletic Conference
Worcester State University,Lancers,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference
Yeshiva University,Maccabees,New York,New York,Skyline Conference
"York College, City University of New York",Cardinals,Queens,New York,City University of New York Athletic Conference
York College of Pennsylvania,Spartans,York,Pennsylvania,MAC Commonwealth
