School,City,State,Conference,Division,StateCode
Thomas Jefferson University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA
Thomas More University,Crestview Hills,Kentucky,Great Midwest Athletic Conference,D2,KY
Tiffin University,Tiffin,Ohio,Great Midwest Athletic Conference,D2,OH
Trevecca Nazarene University,Nashville,Tennessee,Great Midwest Athletic Conference,D2,TN
Truman State University,Kirksville,Missouri,Great Lakes Valley Conference,D2,MO
Tusculum College,Greeneville,Tennessee,South Atlantic Conference,D2,TN
Union University,Jackson,Tennessee,Gulf South Conference,D2,TN
Upper Iowa University,Fayette,Iowa,Great Lakes Valley Conference,D2,IA
Walsh University,North Canton,Ohio,Great Midwest Athletic Conference,D2,OH
University of West Alabama,Livingston,Alabama,Gulf South Conference,D2,AL
West Chester University,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
University of West Florida,Pensacola,Florida,Gulf South Conference,D2,FL
West Liberty University,West Liberty,West Virginia,Mountain East Conference,D2,WV
West Texas A&M University,Canyon,Texas,Lone Star Conference,D2,TX
West Virginia Wesleyan College,Buckhannon,West Virginia,Mountain East Conference,D2,WV
Western Washington University,Bellingham,Washington,Great Northwest Athletic Conference,D2,WA
Westminster College,Salt Lake City,Utah,Rocky Mountain Athletic Conference,D2,UT
Westmont College,Santa Barbara,California,Pacific West Conference,D2,CA
Wheeling University,Wheeling,West Virginia,Mountain East Conference,D2,WV
William Jewell College,Liberty,Missouri,Great Lakes Valley Conference,D2,MO
Wilmington University,New Castle,Delaware,Central Atlantic Collegiate Conference,D2,DE
Wingate University,Wingate,North Carolina,South Atlantic Conference,D2,NC
University of Wisconsin–Parkside,Kenosha,Wisconsin,Great Lakes Valley Conference,D2,WI
Young Harris College,Young Harris,Georgia,Conference Carolinas,D2,GA
Adrian College,Adrian,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Agnes Scott College,Decatur,Georgia,Collegiate Conference of the South,D3,GA
Albertus Magnus College,New Haven,Connecticut,Great Northeast Athletic Conference,D3,CT
Albion College,Albion,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Albright College,Reading,Pennsylvania,MAC Commonwealth,D3,PA
Alfred University,Alfred,New York,Empire 8,D3,NY
Alfred State College,Alfred,New York,Allegheny Mountain Collegiate Conference,D3,NY
Allegheny College,Meadville,Pennsylvania,Presidents' Athletic Conference,D3,PA
Alma College,Alma,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Alvernia University,Reading,Pennsylvania,MAC Commonwealth,D3,PA
Alverno College,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Amherst College,Amherst,Massachusetts,New England Small College Athletic Conference,D3,MA
Anderson University,Anderson,Indiana,Heartland Collegiate Athletic Conference,D3,IN
Anna Maria College,Paxton,Massachusetts,Great Northeast Athletic Conference,D3,MA
Arcadia University,Glenside,Pennsylvania,MAC Freedom,D3,PA
Asbury University,Wilmore,Kentucky,Independent,D3,KY
Augsburg University,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Augustana College,Rock Island,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Aurora University,Aurora,Illinois,Northern Athletics Collegiate Conference,D3,IL
Austin College,Sherman,Texas,Southern Collegiate Athletic Conference,D3,TX
Averett University,Danville,Virginia,Old Dominion Athletic Conference,D3,VA
Babson College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Baldwin Wallace University,Berea,Ohio,Ohio Athletic Conference,D3,OH
Bard College,Annandale-on-Hudson,New York,Liberty League,D3,NY
Baruch College,New York,New York,City University of New York Athletic Conference,D3,NY
Bates College,Lewiston,Maine,New England Small College Athletic Conference,D3,ME
Belhaven University,Jackson,Mississippi,Collegiate Conference of the South,D3,MS
Beloit College,Beloit,Wisconsin,Midwest Conference,D3,WI
Benedictine University,Lisle,Illinois,Northern Athletics Collegiate Conference,D3,IL
Berea College,Berea,Kentucky,Collegiate Conference of the South,D3,KY
Berry College,Mount Berry,Georgia,Southern Athletic Association,D3,GA
Bethany College,Bethany,West Virginia,Presidents' Athletic Conference,D3,WV
Bethany Lutheran College,Mankato,Minnesota,Upper Midwest Athletic Conference,D3,MN
Bethel University,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Birmingham–Southern College,Birmingham,Alabama,Southern Athletic Association,D3,AL
Blackburn College,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL
Bluffton University,Bluffton,Ohio,Heartland Collegiate Athletic Conference,D3,OH
Bob Jones University,Greenville,South Carolina,Independent,D3,SC
Bowdoin College,Brunswick,Maine,New England Small College Athletic Conference,D3,ME
Brandeis University,Waltham,Massachusetts,University Athletic Association,D3,MA
Brevard College,Brevard,North Carolina,USA South Athletic Conference,D3,NC
Bridgewater College,Bridgewater,Virginia,Old Dominion Athletic Conference,D3,VA
Bridgewater State University,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Brooklyn College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Bryn Athyn College,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference,D3,PA
Bryn Mawr College,Bryn Mawr,Pennsylvania,Centennial Conference,D3,PA
Buena Vista University,Storm Lake,Iowa,American Rivers Conference,D3,IA
Buffalo State College,Buffalo,New York,State University of New York Athletic Conference,D3,NY
Cabrini University,Radnor,Pennsylvania,Atlantic East Conference,D3,PA
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,D3,PA
California Institute of Technology,Pasadena,California,Southern California Intercollegiate Athletic Conference,D3,CA
California Lutheran University,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference,D3,CA
"University of California, Santa Cruz",Santa Cruz,California,Coast to Coast Athletic Conference,D3,CA
Calvin University,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Capital University,Bexley,Ohio,Ohio Athletic Conference,D3,OH
Carleton College,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Carnegie Mellon University,Pittsburgh,Pennsylvania,University Athletic Association,D3,PA
Carroll University,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin,D3,WI
Carthage College,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin,D3,WI
Case Western Reserve University,Cleveland,Ohio,University Athletic Association,D3,OH
Castleton University,Castleton,Vermont,Little East Conference,D3,VT
Catholic University of America,Washington,District of Columbia,Landmark Conference,D3,DC
Cazenovia College,Cazenovia,New York,North Atlantic Conference,D3,NY
Cedar Crest College,Allentown,Pennsylvania,Colonial States Athletic Conference,D3,PA
Centenary College of Louisiana,Shreveport,Louisiana,Southern Collegiate Athletic Conference,D3,LA
Centenary University,Hackettstown,New Jersey,Colonial States Athletic Conference,D3,NJ
Central College,Pella,Iowa,American Rivers Conference,D3,IA
Centre College,Danville,Kentucky,Southern Athletic Association,D3,KY
Chapman University,Orange,California,Southern California Intercollegiate Athletic Conference,D3,CA
Chatham University,Pittsburgh,Pennsylvania,Presidents' Athletic Conference,D3,PA
University of Chicago,Chicago,Illinois,University Athletic Association,D3,IL
Christopher Newport University,Newport News,Virginia,Coast to Coast Athletic Conference,D3,VA
City College of New York,New York,New York,City University of New York Athletic Conference,D3,NY
"Claremont McKenna College, Harvey Mudd College, and Scripps College",Claremont,California,Southern California Intercollegiate Athletic Conference,D3,CA
Clark University,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Clarks Summit University,Clarks Summit,Pennsylvania,Colonial States Athletic Conference,D3,PA
Clarkson University,Potsdam,New York,Liberty League,D3,NY
Coe College,Cedar Rapids,Iowa,American Rivers Conference,D3,IA
Colby College,Waterville,Maine,New England Small College Athletic Conference,D3,ME
Colby–Sawyer College,New London,New Hampshire,Great Northeast Athletic Conference,D3,NH
Colorado College,Colorado Springs,Colorado,Southern Collegiate Athletic Conference,D3,CO
Concordia College,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Concordia University Chicago,River Forest,Illinois,Northern Athletics Collegiate Conference,D3,IL
Concordia University Texas,Austin,Texas,American Southwest Conference,D3,TX
Concordia University Wisconsin,Mequon,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Connecticut College,New London,Connecticut,New England Small College Athletic Conference,D3,CT
Cornell College,Mount Vernon,Iowa,Midwest Conference,D3,IA
Covenant College,Lookout Mountain,Georgia,Collegiate Conference of the South,D3,GA
Crown College,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,D3,MN
Curry College,Milton,Massachusetts,Commonwealth Coast Conference,D3,MA
University of Dallas,Irving,Texas,Southern Collegiate Athletic Conference,D3,TX
Dean College,Franklin,Massachusetts,Great Northeast Athletic Conference,D3,MA
Defiance College,Defiance,Ohio,Heartland Collegiate Athletic Conference,D3,OH
Delaware Valley University,Doylestown,Pennsylvania,MAC Freedom,D3,PA
Denison University,Granville,Ohio,North Coast Athletic Conference,D3,OH
DePauw University,Greencastle,Indiana,North Coast Athletic Conference,D3,IN
DeSales University,Center Valley,Pennsylvania,MAC Freedom,D3,PA
Dickinson College,Carlisle,Pennsylvania,Centennial Conference,D3,PA
Dominican University,River Forest,Illinois,Northern Athletics Collegiate Conference,D3,IL
Drew University,Madison,New Jersey,Landmark Conference,D3,NJ
University of Dubuque,Dubuque,Iowa,American Rivers Conference,D3,IA
Earlham College,Richmond,Indiana,Heartland Collegiate Athletic Conference,D3,IN
East Texas Baptist University,Marshall,Texas,American Southwest Conference,D3,TX
Eastern Connecticut State University,Willimantic,Connecticut,Little East Conference,D3,CT
Eastern Mennonite University,Harrisonburg,Virginia,Old Dominion Athletic Conference,D3,VA
Eastern Nazarene College,Quincy,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,MA
Eastern University,St. Davids,Pennsylvania,MAC Commonwealth,D3,PA
Edgewood College,Madison,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Elizabethtown College,Elizabethtown,Pennsylvania,Landmark Conference,D3,PA
Elmhurst University,Elmhurst,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Elmira College,Elmira,New York,Empire 8,D3,NY
Elms College,Chicopee,Massachusetts,Great Northeast Athletic Conference,D3,MA
Emerson College,Boston,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Emmanuel College,Boston,Massachusetts,Great Northeast Athletic Conference,D3,MA
Emory University,Atlanta,Georgia,University Athletic Association,D3,GA
Endicott College,Beverly,Massachusetts,Commonwealth Coast Conference,D3,MA
Eureka College,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL
"Fairleigh Dickinson University, Florham",Madison/Florham Park,New Jersey,MAC Freedom,D3,NJ
Farmingdale State College,Farmingdale,New York,Skyline Conference,D3,NY
Ferrum College,Ferrum,Virginia,Old Dominion Athletic Conference,D3,VA
Finlandia University,Hancock,Michigan,Coast to Coast Athletic Conference,D3,MI
Fitchburg State University,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Fontbonne University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,D3,MO
Framingham State University,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Franciscan University of Steubenville,Steubenville,Ohio,Presidents' Athletic Conference,D3,OH
Franklin & Marshall College,Lancaster,Pennsylvania,Centennial Conference,D3,PA
Franklin College,Franklin,Indiana,Heartland Collegiate Athletic Conference,D3,IN
Gallaudet University,Washington,District of Columbia,United East Conference,D3,DC
Geneva College,Beaver Falls,Pennsylvania,Presidents' Athletic Conference,D3,PA
George Fox University,Newberg,Oregon,Northwest Conference,D3,OR
Gettysburg College,Gettysburg,Pennsylvania,Centennial Conference,D3,PA
Gordon College,Wenham,Massachusetts,Commonwealth Coast Conference,D3,MA
Goucher College,Towson,Maryland,Landmark Conference,D3,MD
Greensboro College,Greensboro,North Carolina,USA South Athletic Conference,D3,NC
Greenville University,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL
Grinnell College,Grinnell,Iowa,Midwest Conference,D3,IA
Grove City College,Grove City,Pennsylvania,Presidents' Athletic Conference,D3,PA
Guilford College,Greensboro,North Carolina,Old Dominion Athletic Conference,D3,NC
Gustavus Adolphus College,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Gwynedd Mercy University,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference,D3,PA
Hamilton College,Clinton,New York,New England Small College Athletic Conference,D3,NY
Hamline University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Hampden–Sydney College,Hampden Sydney,Virginia,Old Dominion Athletic Conference,D3,VA
Hanover College,Hanover,Indiana,Heartland Collegiate Athletic Conference,D3,IN
Hardin–Simmons University,Abilene,Texas,American Southwest Conference,D3,TX
Hartwick College,Oneonta,New York,Empire 8,D3,NY
Haverford College,Haverford,Pennsylvania,Centennial Conference,D3,PA
Heidelberg University,Tiffin,Ohio,Ohio Athletic Conference,D3,OH
Hendrix College,Conway,Arkansas,Southern Athletic Association,D3,AR
Hilbert College,Hamburg,New York,Allegheny Mountain Collegiate Conference,D3,NY
Hiram College,Hiram,Ohio,North Coast Athletic Conference,D3,OH
Hobart College,Geneva,New York,Liberty League,D3,NY
Hollins University,Roanoke,Virginia,Old Dominion Athletic Conference,D3,VA
Hood College,Frederick,Maryland,MAC Commonwealth,D3,MD
Hope College,Holland,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Houghton College,Houghton,New York,Empire 8,D3,NY
Howard Payne University,Brownwood,Texas,American Southwest Conference,D3,TX
Hunter College,New York,New York,City University of New York Athletic Conference,D3,NY
Huntingdon College,Montgomery,Alabama,Collegiate Conference of the South,D3,AL
Husson University,Bangor,Maine,North Atlantic Conference,D3,ME
Illinois College,Jacksonville,Illinois,Midwest Conference,D3,IL
Illinois Institute of Technology,Chicago,Illinois,Northern Athletics Collegiate Conference,D3,IL
Illinois Wesleyan University,Bloomington,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Immaculata University,Immaculata,Pennsylvania,Atlantic East Conference,D3,PA
Ithaca College,Ithaca,New York,Liberty League,D3,NY
John Carroll University,University Heights,Ohio,Ohio Athletic Conference,D3,OH
John Jay College of Criminal Justice,New York,New York,City University of New York Athletic Conference,D3,NY
Johns Hopkins University,Baltimore,Maryland,Centennial Conference,D3,MD
Johnson & Wales University,Providence,Rhode Island,Great Northeast Athletic Conference(Commonwealth Coast Conference in 2024),D3,RI
Juniata College,Huntingdon,Pennsylvania,Landmark Conference,D3,PA
Kalamazoo College,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Kean University,Union Township,New Jersey,New Jersey Athletic Conference,D3,NJ
Keene State College,Keene,New Hampshire,Little East Conference,D3,NH
Kenyon College,Gambier,Ohio,North Coast Athletic Conference,D3,OH
Keuka College,Keuka Park,New York,Empire 8,D3,NY
Keystone College,La Plume Township,Pennsylvania,Colonial States Athletic Conference,D3,PA
King's College,Wilkes-Barre,Pennsylvania,MAC Freedom,D3,PA
Knox College,Galesburg,Illinois,Midwest Conference,D3,IL
La Roche University,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
University of La Verne,La Verne,California,Southern California Intercollegiate Athletic Conference,D3,CA
LaGrange College,LaGrange,Georgia,Collegiate Conference of the South,D3,GA
Lake Forest College,Lake Forest,Illinois,Midwest Conference,D3,IL
Lakeland University,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Lancaster Bible College,Lancaster,Pennsylvania,United East Conference,D3,PA
Lasell College,Newton,Massachusetts,Great Northeast Athletic Conference,D3,MA
Lawrence University,Appleton,Wisconsin,Midwest Conference,D3,WI
Lebanon Valley College,Annville,Pennsylvania,MAC Commonwealth(MAC Freedom in 2023),D3,PA
Lehman College,The Bronx,New York,City University of New York Athletic Conference,D3,NY
Lesley University,Boston,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,MA
LeTourneau University,Longview,Texas,American Southwest Conference,D3,TX
Lewis & Clark College,Portland,Oregon,Northwest Conference,D3,OR
Linfield University,McMinnville,Oregon,Northwest Conference,D3,OR
Loras College,Dubuque,Iowa,American Rivers Conference,D3,IA
Luther College,Decorah,Iowa,American Rivers Conference,D3,IA
Lycoming College,Williamsport,Pennsylvania,MAC Freedom(Landmark Conference in 2023),D3,PA
Lynchburg College,Lynchburg,Virginia,Old Dominion Athletic Conference,D3,VA
Lyon College,Batesville,Arkansas,Independent (St. Louis Intercollegiate Athletic Conference in 2023),D3,AR
Macalester College,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
University of Maine at Farmington,Farmington,Maine,North Atlantic Conference,D3,ME
Maine Maritime Academy,Castine,Maine,North Atlantic Conference,D3,ME
University of Maine at Presque Isle,Presque Isle,Maine,North Atlantic Conference,D3,ME
Manchester University,North Manchester,Indiana,Heartland Collegiate Athletic Conference,D3,IN
Manhattanville College,Purchase,New York,Skyline Conference,D3,NY
Maranatha Baptist University,Watertown,Wisconsin,Independent,D3,WI
Marian University,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
Marietta College,Marietta,Ohio,Ohio Athletic Conference,D3,OH
Martin Luther College,New Ulm,Minnesota,Upper Midwest Athletic Conference,D3,MN
Mary Baldwin University,Staunton,Virginia,USA South Athletic Conference,D3,VA
University of Mary Hardin–Baylor,Belton,Texas,American Southwest Conference,D3,TX
University of Mary Washington,Fredericksburg,Virginia,Coast to Coast Athletic Conference,D3,VA
Marymount University,Arlington,Virginia,Atlantic East Conference,D3,VA
Maryville College,Maryville,Tennessee,Collegiate Conference of the South,D3,TN
Marywood University,Scranton,Pennsylvania,Atlantic East Conference,D3,PA
University of Massachusetts Boston,Boston,Massachusetts,Little East Conference,D3,MA
Massachusetts College of Liberal Arts,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
University of Massachusetts Dartmouth,Dartmouth,Massachusetts,Little East Conference,D3,MA
Massachusetts Institute of Technology,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Massachusetts Maritime Academy,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
McDaniel College,Westminster,Maryland,Centennial Conference,D3,MD
McMurry University,Abilene,Texas,American Southwest Conference(Southern Collegiate Athletic Conference in 2024),D3,TX
Medaille College,Buffalo,New York,Empire 8,D3,NY
Medgar Evers College,Brooklyn,New York,City University of New York Athletic Conference,D3,NY
Meredith College,Raleigh,North Carolina,USA South Athletic Conference,D3,NC
Messiah University,Grantham,Pennsylvania,MAC Commonwealth,D3,PA
Methodist University,Fayetteville,North Carolina,USA South Athletic Conference,D3,NC
Middlebury College,Middlebury,Vermont,New England Small College Athletic Conference,D3,VT
Millikin University,Decatur,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Millsaps College,Jackson,Mississippi,Southern Athletic Association,D3,MS
Milwaukee School of Engineering,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
University of Minnesota Morris,Morris,Minnesota,Upper Midwest Athletic Conference,D3,MN
Misericordia University,Dallas,Pennsylvania,MAC Freedom,D3,PA
Mississippi University for Women,Columbus,Mississippi,St. Louis Intercollegiate Athletic Conference,D3,MS
Mitchell College,New London,Connecticut,New England Collegiate Conference(Great Northeast Athletic Conference in 2023),D3,CT
Monmouth College,Monmouth,Illinois,Midwest Conference,D3,IL
Montclair State University,Montclair,New Jersey,New Jersey Athletic Conference,D3,NJ
Moravian College,Bethlehem,Pennsylvania,Landmark Conference,D3,PA
Mount Aloysius College,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
Mount Holyoke College,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Mount Mary University,Milwaukee,Wisconsin,Coast to Coast Athletic Conference,D3,WI
Mount St. Joseph University,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,D3,OH
Mount Saint Mary College,Newburgh,New York,Skyline Conference,D3,NY
College of Mount Saint Vincent,The Bronx,New York,Skyline Conference,D3,NY
University of Mount Union,Alliance,Ohio,Ohio Athletic Conference,D3,OH
Muhlenberg College,Allentown,Pennsylvania,Centennial Conference,D3,PA
Muskingum University,New Concord,Ohio,Ohio Athletic Conference,D3,OH
Nazareth College,Pittsford,New York,Empire 8,D3,NY
Nebraska Wesleyan University,Lincoln,Nebraska,American Rivers Conference,D3,NE
Neumann University,Aston,Pennsylvania,Atlantic East Conference,D3,PA
New England College,Henniker,New Hampshire,New England Collegiate Conference(Great Northeast Athletic Conference in 2023),D3,NH
University of New England,Biddeford,Maine,Commonwealth Coast Conference,D3,ME
The College of New Jersey,Ewing,New Jersey,New Jersey Athletic Conference,D3,NJ
New Jersey City University,Jersey City,New Jersey,New Jersey Athletic Conference,D3,NJ
State University of New York at Brockport,Brockport,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Canton,Canton,New York,North Atlantic Conference,D3,NY
State University of New York at Cobleskill,Cobleskill,New York,North Atlantic Conference,D3,NY
State University of New York at Cortland,Cortland,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Delhi,Delhi,New York,North Atlantic Conference,D3,NY
State University of New York at Fredonia,Fredonia,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Geneseo,Geneseo,New York,State University of New York Athletic Conference,D3,NY
State University of New York Maritime College,The Bronx,New York,Skyline Conference,D3,NY
State University of New York at Morrisville,Morrisville,New York,United East Conference(North Atlantic Conference in 2023),D3,NY
State University of New York Polytechnic Institute,Marcy,New York,North Atlantic Conference,D3,NY
State University of New York at New Paltz,New Paltz,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Old Westbury,Old Westbury,New York,Skyline Conference,D3,NY
State University of New York at Oneonta,Oneonta,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Oswego,Oswego,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Plattsburgh,Plattsburgh,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Potsdam,Potsdam,New York,State University of New York Athletic Conference,D3,NY
State University of New York at Purchase,Purchase,New York,Skyline Conference,D3,NY
New York University,New York,New York,University Athletic Association,D3,NY
Nichols College,Dudley,Massachusetts,Commonwealth Coast Conference,D3,MA
North Carolina Wesleyan College,Rocky Mount,North Carolina,USA South Athletic Conference,D3,NC
North Central College,Naperville,Illinois,College Conference of Illinois and Wisconsin,D3,IL
North Central University,Minneapolis,Minnesota,Upper Midwest Athletic Conference,D3,MN
North Park University,Chicago,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Northern Vermont University–Johnson,Johnson,Vermont,North Atlantic Conference,D3,VT
Northern Vermont University–Lyndon,Lyndonville,Vermont,North Atlantic Conference,D3,VT
Northland College,Ashland,Wisconsin,Upper Midwest Athletic Conference,D3,WI
University of Northwestern – St. Paul,Roseville,Minnesota,Upper Midwest Athletic Conference,D3,MN
Norwich University,Northfield,Vermont,Great Northeast Athletic Conference,D3,VT
Notre Dame of Maryland University,Baltimore,Maryland,Colonial States Athletic Conference,D3,MD
Oberlin College,Oberlin,Ohio,North Coast Athletic Conference,D3,OH
Occidental College,Los Angeles,California,Southern California Intercollegiate Athletic Conference,D3,CA
Oglethorpe University,Atlanta,Georgia,Southern Athletic Association,D3,GA
Ohio Northern University,Ada,Ohio,Ohio Athletic Conference,D3,OH
Ohio Wesleyan University,Delaware,Ohio,North Coast Athletic Conference,D3,OH
Olivet College,Olivet,Michigan,Michigan Intercollegiate Athletic Association,D3,MI
Otterbein University,Westerville,Ohio,Ohio Athletic Conference,D3,OH
University of the Ozarks,Clarksville,Arkansas,American Southwest Conference,D3,AR
Pacific Lutheran University,Tacoma,Washington,Northwest Conference,D3,WA
Pacific University,Forest Grove,Oregon,Northwest Conference,D3,OR
Pennsylvania College of Technology,Williamsport,Pennsylvania,United East Conference,D3,PA
"Pennsylvania State University, Abington",Abington,Pennsylvania,United East Conference,D3,PA
"Pennsylvania State University, Altoona",Altoona,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
"Pennsylvania State University, Berks College",Reading,Pennsylvania,United East Conference,D3,PA
"Pennsylvania State University, Behrend",Erie,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
"Pennsylvania State University, Harrisburg",Harrisburg,Pennsylvania,United East Conference,D3,PA
Pfeiffer University,Misenheimer,North Carolina,USA South Athletic Conference,D3,NC
Piedmont University,Demorest,Georgia,Collegiate Conference of the South,D3,GA
University of Pittsburgh at Bradford,Bradford,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
University of Pittsburgh at Greensburg,Greensburg,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA
Plymouth State University,Plymouth,New Hampshire,Little East Conference,D3,NH
Pomona College and Pitzer College,Claremont,California,Southern California Intercollegiate Athletic Conference,D3,CA
Pratt Institute,Brooklyn,New York,Coast to Coast Athletic Conference,D3,NY
Principia College,Elsah,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL
University of Puget Sound,Tacoma,Washington,Northwest Conference,D3,WA
Ramapo College,Mahwah,New Jersey,New Jersey Athletic Conference,D3,NJ
Randolph College,Lynchburg,Virginia,Old Dominion Athletic Conference,D3,VA
Randolph–Macon College,Ashland,Virginia,Old Dominion Athletic Conference,D3,VA
University of Redlands,Redlands,California,Southern California Intercollegiate Athletic Conference,D3,CA
Regis College,Weston,Massachusetts,Great Northeast Athletic Conference,D3,MA
Rensselaer Polytechnic Institute,Troy,New York,Liberty League,D3,NY
Rhode Island College,Providence,Rhode Island,Little East Conference,D3,RI
Rhodes College,Memphis,Tennessee,Southern Athletic Association,D3,TN
Ripon College,Ripon,Wisconsin,Midwest Conference,D3,WI
Rivier University,Nashua,New Hampshire,Great Northeast Athletic Conference,D3,NH
Roanoke College,Salem,Virginia,Old Dominion Athletic Conference,D3,VA
University of Rochester,Rochester,New York,University Athletic Association,D3,NY
Rochester Institute of Technology,Rochester,New York,Liberty League,D3,NY
Rockford University,Rockford,Illinois,Northern Athletics Collegiate Conference,D3,IL
Roger Williams University,Bristol,Rhode Island,Commonwealth Coast Conference,D3,RI
Rose-Hulman Institute of Technology,Terre Haute,Indiana,Heartland Collegiate Athletic Conference,D3,IN
Rosemont College,Rosement,Pennsylvania,Colonial States Athletic Conference,D3,PA
Rowan University,Glassboro,New Jersey,New Jersey Athletic Conference,D3,NJ
Rutgers University–Camden,Camden,New Jersey,New Jersey Athletic Conference,D3,NJ
Rutgers University–Newark,Newark,New Jersey,New Jersey Athletic Conference,D3,NJ
Russell Sage College,Albany & Troy,New York,Empire 8,D3,NY
College of Saint Benedict,St. Joseph,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
St. Catherine University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
Saint Elizabeth University,Convent Station,New Jersey,United East Conference,D3,NJ
St. John Fisher College,Pittsford,New York,Empire 8,D3,NY
Saint John's University,Collegeville,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
University of Saint Joseph,West Hartford,Connecticut,Great Northeast Athletic Conference,D3,CT
St. Joseph's College,Brooklyn,New York,Skyline Conference,D3,NY
St. Joseph's College,Long Island,New York,Skyline Conference,D3,NY
Saint Joseph's College of Maine,Standish,Maine,Great Northeast Athletic Conference,D3,ME
St. Lawrence University,Canton,New York,Liberty League,D3,NY
Saint Mary's College,Notre Dame,Indiana,Michigan Intercollegiate Athletic Association,D3,IN
St. Mary's College of Maryland,St. Mary's City,Maryland,United East Conference,D3,MD
Saint Mary's University of Minnesota,Winona,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
St. Norbert College,De Pere,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
St. Olaf College,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
